"t","Yt","Ytmin1","Xt"
"1","3800000000","","220"
"2","4600000000","3800000000","137"
"3","430000000","4600000000","25"
"4","9000000000","430000000","355"
"5","4970000000","9000000000","154"
"6","2600000000","4970000000","150"
"7","3250000000","2600000000","90"
"8","4500000000","3250000000","96"
"9","3600000000","4500000000","110"
"10","4600000000","3600000000","137"
"11","3000000000","4600000000","144"
"12","6000000000","3000000000","150"
"13","7500000000","6000000000","253"
"14","14000000000","7500000000","700"
"15","8000000000","14000000000","218"
"16","700000000","8000000000","75"
"17","5500000000","700000000","230"
"18","4000000000","5500000000","199"
"19","3900000000","4000000000","130"
"20","5800000000","3900000000","200"
"21","3200000000","5800000000","110"
"22","8800000000","3200000000","230"
"23","1100000000","8800000000","102"
"24","10900000000","1100000000","428"
"25","3600000000","10900000000","200"
"26","4000000000","3600000000","120"
"27","6000000000","4000000000","222"
"28","6500000000","6000000000","200"
"29","4500000000","6500000000","154"
"30","4500000000","4500000000","105"
"31","4000000000","4500000000","140"
"32","2600000000","4000000000","90"
"33","5500000000","2600000000","239"
"34","15000000000","5500000000","643"
"35","3500000000","15000000000","100"
"36","6000000000","3500000000","240"
"37","8000000000","6000000000","232"
"38","9500000000","8000000000","305"
"39","4300000000","9500000000","146"
"40","3800000000","4300000000","135"
"41","4000000000","3800000000","175"
"42","2500000000","4000000000","90"
"43","4750000000","2500000000","196"
"44","4400000000","4750000000","96"
"45","4500000000","4400000000","140"
"46","5000000000","4500000000","180"
"47","4150000000","5000000000","135"
"48","3800000000","4150000000","130"
"49","8100000000","3800000000","240"
"50","5250000000","8100000000","108"
"51","4500000000","5250000000","145"
"52","6200000000","4500000000","200"
"53","6500000000","6200000000","200"
"54","3500000000","6500000000","112"
"55","3199000000","3500000000","149"
"56","3200000000","3199000000","130"
"57","3799000000","3200000000","130"
"58","6000000000","3799000000","198"
"59","9790000000","6000000000","393"
"60","5500000000","9790000000","270"
"61","3350000000","5500000000","135"
"62","750000000","3350000000","80"
"63","3500000000","750000000","165"
"64","4700000000","3500000000","137"
"65","3500000000","4700000000","112"
"66","2850000000","3500000000","90"
"67","3500000000","2850000000","110"
"68","3100000000","3500000000","137"
"69","4300000000","3100000000","112"
"70","5500000000","4300000000","140"
"71","6750000000","5500000000","210"
"72","3200000000","6750000000","104"
"73","8250000000","3200000000","282"
"74","3250000000","8250000000","130"
"75","3499000000","3250000000","150"
"76","3400000000","3499000000","104"
"77","5000000000","3400000000","160"
"78","5600000000","5000000000","225"
"79","4500000000","5600000000","135"
"80","10800000000","4500000000","400"
"81","2600000000","10800000000","91"
"82","3600000000","2600000000","127"
"83","3450000000","3600000000","112"
"84","7400000000","3450000000","257"
"85","10000000000","7400000000","282"
"86","3500000000","10000000000","108"
"87","1700000000","3500000000","80"
"88","3500000000","1700000000","141"
"89","1300000000","3500000000","90"
"90","2800000000","1300000000","90"
"91","5000000000","2800000000","160"
"92","3200000000","5000000000","80"
"93","5000000000","3200000000","150"
"94","2200000000","5000000000","98"
"95","5600000000","2200000000","192"
"96","3800000000","5600000000","180"
"97","4000000000","3800000000","146"
"98","15000000000","4000000000","692"
"99","3850000000","15000000000","130"
"100","4200000000","3850000000","140"
"","","",""
