t,Yt,Ytmin1,Xt
1,3.8,,0.22
2,4.6,3.8,0.137
3,0.43,4.6,0.025
4,9,0.43,0.355
5,4.97,9,0.154
6,2.6,4.97,0.15
7,3.25,2.6,0.09
8,4.5,3.25,0.096
9,3.6,4.5,0.11
10,4.6,3.6,0.137
11,3,4.6,0.144
12,6,3,0.15
13,7.5,6,0.253
14,14,7.5,0.7
15,8,14,0.218
16,0.7,8,0.075
17,5.5,0.7,0.23
18,4,5.5,0.199
19,3.9,4,0.13
20,5.8,3.9,0.2
21,3.2,5.8,0.11
22,8.8,3.2,0.23
23,1.1,8.8,0.102
24,10.9,1.1,0.428
25,3.6,10.9,0.2
26,4,3.6,0.12
27,6,4,0.222
28,6.5,6,0.2
29,4.5,6.5,0.154
30,4.5,4.5,0.105
31,4,4.5,0.14
32,2.6,4,0.09
33,5.5,2.6,0.239
34,15,5.5,0.643
35,3.5,15,0.1
36,6,3.5,0.24
37,8,6,0.232
38,9.5,8,0.305
39,4.3,9.5,0.146
40,3.8,4.3,0.135
41,4,3.8,0.175
42,2.5,4,0.09
43,4.75,2.5,0.196
44,4.4,4.75,0.096
45,4.5,4.4,0.14
46,5,4.5,0.18
47,4.15,5,0.135
48,3.8,4.15,0.13
49,8.1,3.8,0.24
50,5.25,8.1,0.108
51,4.5,5.25,0.145
52,6.2,4.5,0.2
53,6.5,6.2,0.2
54,3.5,6.5,0.112
55,3.199,3.5,0.149
56,3.2,3.199,0.13
57,3.799,3.2,0.13
58,6,3.799,0.198
59,9.79,6,0.393
60,5.5,9.79,0.27
61,3.35,5.5,0.135
62,0.75,3.35,0.08
63,3.5,0.75,0.165
64,4.7,3.5,0.137
65,3.5,4.7,0.112
66,2.85,3.5,0.09
67,3.5,2.85,0.11
68,3.1,3.5,0.137
69,4.3,3.1,0.112
70,5.5,4.3,0.14
71,6.75,5.5,0.21
72,3.2,6.75,0.104
73,8.25,3.2,0.282
74,3.25,8.25,0.13
75,3.499,3.25,0.15
76,3.4,3.499,0.104
77,5,3.4,0.16
78,5.6,5,0.225
79,4.5,5.6,0.135
80,10.8,4.5,0.4
81,2.6,10.8,0.091
82,3.6,2.6,0.127
83,3.45,3.6,0.112
84,7.4,3.45,0.257
85,10,7.4,0.282
86,3.5,10,0.108
87,1.7,3.5,0.08
88,3.5,1.7,0.141
89,1.3,3.5,0.09
90,2.8,1.3,0.09
91,5,2.8,0.16
92,3.2,5,0.08
93,5,3.2,0.15
94,2.2,5,0.098
95,5.6,2.2,0.192
96,3.8,5.6,0.18
97,4,3.8,0.146
98,15,4,0.692
99,3.85,15,0.13
100,4.2,3.85,0.14
,,4.2,
